키워드순번,키워드명,등록일시
1,전자파,2024-08-16
2,전자파 차폐,2024-08-16
3,개스킷,2024-08-16
4,전자파 차폐 개스킷,2024-08-16
5,복합소재,2024-08-16
6,Electromagnetic Wave,2024-08-16
7,electromagnetic shieldingg,2024-08-16
8,gasket,2024-08-16
9,electromagnetic shielding gasket,2024-08-16
10,Composite,2024-08-16
11,광합성,2024-08-14
12,곰팡이,2024-08-14
13,식물팩토리,2024-08-14
14,암실,2024-08-14
15,병충해,2024-08-14
16,융복합 LED,2024-08-14
17,PPFD,2024-08-14
18,하이브리드 모듈,2024-08-14
19,photosynthesis,2024-08-14
20,mold,2024-08-14
21,plant factory,2024-08-14
22,dark roon,2024-08-14
23,insect,2024-08-14
24,Hybrid LED,2024-08-14
25,PPFD,2024-08-14
26,hybrid module,2024-08-14
27,활성탄소섬유,2024-08-14
28,나노셀룰로오스,2024-08-14
29,중금속,2024-08-14
30,필터,2024-08-14
31,정수수,2024-08-14
32,activated carbon fiber,2024-08-14
33,nanocellulose,2024-08-14
34,heavy metal,2024-08-14
35,filter,2024-08-14
36,water purifier,2024-08-14
37,비니페린,2024-08-13
38,엑소좀,2024-08-13
39,스킨부스터,2024-08-13
40,의료기기,2024-08-13
41,피부 장벽,2024-08-13
42,Viniferin,2024-08-13
43,Exosome,2024-08-13
44,Skin Booster,2024-08-13
45,Medical devices,2024-08-13
46,skin barrier,2024-08-13
47,원격 제어,2024-08-13
48,원격 관리,2024-08-13
49,상태 모니터링,2024-08-13
50,작업 안전,2024-08-13
51,Control station,2024-08-13
52,Remote control,2024-08-13
53,Remote Management,2024-08-13
54,Monitoring condtions,2024-08-13
55,Safety in working,2024-08-13
56,컨트롤 스테이션,2024-08-13
57,바실러스 발효배양 열처리 복합물,2024-08-12
58,장전달 식물성 부형제,2024-08-12
59,건강기능식품,2024-08-12
60,기능성 식품소재,2024-08-12
61,DDS by using vegetable excipients,2024-08-12
62,Health functional food,2024-08-12
63,functional food substance,2024-08-12
64,인공지능,2024-08-09
65,수요발굴,2024-08-09
66,역량진단,2024-08-09
67,기술사업화 컨설팅,2024-08-09
68,상용화 지원,2024-08-09
69,AI,2024-08-09
70,Demand discovery,2024-08-09
71,Competency diagnosis,2024-08-09
72,Technology commercialization consulting,2024-08-09
73,Commercializationsupport,2024-08-09
74,사업화,2024-08-05
75,공동연구,2024-08-05
76,연구기관,2024-08-05
77,통합지원 플랫폼,2024-08-05
78,기업성장지원,2024-08-05
79,Commercialization,2024-08-05
80,Joint research,2024-08-05
81,Research Institute,2024-08-05
82,Integrated Support Platform,2024-08-05
83,Support for Corporate Growth,2024-08-05
84,고도산화,2024-08-01
85,순환식,2024-08-01
86,광촉매,2024-08-01
87,마이크로 버블,2024-08-01
88,다공성 모듈,2024-08-01
89,Advanced Oxidation,2024-08-01
90,Circulation,2024-08-01
91,Photocatalyst,2024-08-01
92,Micro bubble,2024-08-01
93,Porous module,2024-08-01
94,인공지능,2024-07-31
95,비소세포성폐암,2024-07-31
96,신약,2024-07-31
97,대체타겟,2024-07-31
98,타겟탐색,2024-07-31
99,artificial intelligence,2024-07-31
100,non small cell lung cancer,2024-07-31
101,drug,2024-07-31
102,alternative target,2024-07-31
103,target screening,2024-07-31
104,혁신자원,2024-07-31
105,정책기획,2024-07-31
106,첨단기술기업,2024-07-31
107,선순환 생태계,2024-07-31
108,네트워크,2024-07-31
109,Innovation resources,2024-07-31
110,Policy Planning,2024-07-31
111,High tech company,2024-07-31
112,Virtuous cycle ecosystem,2024-07-31
113,Network,2024-07-31
114,Bio,2024-07-29
115,Innovation Network Fosterage,2024-07-29
116,Medicamen,2024-07-29
117,강소연구개발특구,2024-07-29
118,강원 춘천,2024-07-29
119,바이오,2024-07-29
120,혁신 네트워크,2024-07-29
121,의약,2024-07-29
122,Innopolis,2024-07-29
123,Gangwon Chuncheon,2024-07-29
124,신기술,2024-07-29
125,실증테스트,2024-07-29
126,규제특례,2024-07-29
127,샌드박스,2024-07-29
128,컨설팅,2024-07-29
129,new technology,2024-07-29
130,demonstration test,2024-07-29
131,regulation exception,2024-07-29
132,sand box,2024-07-29
133,consulting,2024-07-29
134,아이템검증,2024-07-25
135,시제품제작,2024-07-25
136,환경산업,2024-07-25
137,창업,2024-07-25
138,entrepreneurship,2024-07-25
139,pilot test,2024-07-25
140,MVP,2024-07-25
141,eco industry,2024-07-25
142,startup,2024-07-25
143,창업교육,2024-07-25
144,이노폴리스 캠퍼스,2024-07-25
145,예비창업자,2024-07-25
146,기술창업,2024-07-25
147,투자,2024-07-25
148,IR,2024-07-25
149,Innopolis Campus,2024-07-25
150,Prep entrepreneur,2024-07-25
151,technology startup,2024-07-25
152,Investment,2024-07-25
153,IR,2024-07-25
154,바이오 의약 신소재 분야,2024-07-25
155,기술이전,2024-07-25
156,수요기업 발굴,2024-07-25
157,연구소기업,2024-07-25
158,BM,2024-07-25
159,Bio Medicine New material,2024-07-25
160,Technology transfer,2024-07-25
161,Discovering Demand Companies,2024-07-25
162,INNOPOLIS research institute spinoff Company,2024-07-25
163,Business Model,2024-07-25
164,ICT융복합 환경기술,2024-07-25
165,기술이전,2024-07-25
166,연구소기업,2024-07-25
167,기술이전설명회,2024-07-25
168,후속지원,2024-07-25
169,ICT Convergence environmental Technology,2024-07-25
170,Technology transfer,2024-07-25
171,Research Institute,2024-07-25
172,Technology transfer briefing session,2024-07-25
173,Followup support,2024-07-25
174,환경융합기술,2024-07-25
175,환경분야 특화기업,2024-07-25
176,기업 성장지원,2024-07-25
177,특화분야 지원,2024-07-25
178,DB 구축,2024-07-25
179,Environment Converging Technology,2024-07-25
180,Environment specialized enterprises,2024-07-25
181,Business growth support,2024-07-25
182,Specialized fields support,2024-07-25
183,Build DB,2024-07-25
184,애로사항 해결,2024-07-25
185,전주기 기업지원,2024-07-25
186,성과확산,2024-07-25
187,산업생태계 혁신,2024-07-25
188,corporate support,2024-07-25
189,solving problem,2024-07-25
190,whole season support,2024-07-25
191,performance spread,2024-07-25
192,industrial ecological innovation,2024-07-25
193,기업지원,2024-07-25
194,규제샌드박스,2024-07-24
195,수요발굴,2024-07-24
196,컨설팅,2024-07-24
197,실증특례,2024-07-24
198,연구개발특구,2024-07-24
199,Regulatory Sandbox,2024-07-24
200,Demand discovery,2024-07-24
201,consulting,2024-07-24
202,Special cases for demonstration,2024-07-24
203,Innopolis,2024-07-24
204,기술전문성,2024-07-24
205,진단솔루션,2024-07-24
206,스케일업,2024-07-24
207,정부rnd,2024-07-24
208,규제기반로드맵,2024-07-24
209,Technical Expertise,2024-07-24
210,Diagnostic Solution,2024-07-24
211,Scale up,2024-07-24
212,Government RnD,2024-07-24
213,Regulation based Roadmap,2024-07-24
214,ICT 융복합 환경기술,2024-07-23
215,네트워크 강화,2024-07-23
216,해외 브랜치,2024-07-23
217,기술사업화,2024-07-23
218,특구 연계,2024-07-23
219,ICT Convergence Environmental Technology,2024-07-23
220,Network buildup,2024-07-23
221,Global Branch,2024-07-23
222,Innopolis Linkage,2024-07-23
223,생태주차장,2024-07-18
224,저영향개발기법,2024-07-18
225,ecological parking lot,2024-07-18
226,low impact development technique,2024-07-18
227,흡음,2024-07-18
228,폴리에스터,2024-07-18
229,폐폐트병,2024-07-18
230,벽천장용,2024-07-18
231,모듈,2024-07-18
232,Sound Absorption,2024-07-18
233,Polyester,2024-07-18
234,Recycled PET,2024-07-18
235,Module,2024-07-18
236,기술사업화,2024-07-16
237,특허,2024-07-16
238,기술이전,2024-07-16
239,기술마케팅,2024-07-16
240,비즈니스모델,2024-07-16
241,Technology Commercialization,2024-07-16
242,Patent,2024-07-16
243,Technology Transfer,2024-07-16
244,Technology Marketing,2024-07-16
245,Business Model,2024-07-16
246,연구소기업,2024-07-16
247,생산공장,2024-07-16
248,기술창업,2024-07-16
249,소재부품,2024-07-16
250,특화기술,2024-07-16
251,Research,2024-07-16
252,Production Plant,2024-07-16
253,Start up,2024-07-16
254,Material Parts,2024-07-16
255,Specialisms,2024-07-16
256,가상 피팅,2024-07-15
257,인공지능,2024-07-15
258,컴퓨터그래픽스,2024-07-15
259,3차원 스캐너,2024-07-15
260,Fashion Technology,2024-07-15
261,Virtual Fitting,2024-07-15
262,Artificial Intelligence,2024-07-15
263,Computer Graphics,2024-07-15
264,3D Scanner,2024-07-15
265,패션 기술,2024-07-15
266,피부재생,2024-07-15
267,인공지능,2024-07-15
268,머신러닝,2024-07-15
269,방사선,2024-07-15
270,peptide,2024-07-15
271,skin regeneration,2024-07-15
272,AI,2024-07-15
273,machine learning,2024-07-15
274,radiation,2024-07-15
275,펩타이드,2024-07-15
276,지역통합,2024-07-10
277,네트워크,2024-07-10
278,과제기획,2024-07-10
279,아젠다 발굴,2024-07-10
280,오피니언 리더,2024-07-10
281,Regional Integration,2024-07-10
282,Networking,2024-07-10
283,project planning,2024-07-10
284,Excavating Agenda,2024-07-10
285,Opinion Leader,2024-07-10
286,재사용 배터리,2024-07-09
287,전기차 폐배터리,2024-07-09
288,선박용 배터리,2024-07-09
289,하이브리드 충전,2024-07-09
290,모듈형,2024-07-09
291,Re use,2024-07-09
292,EV Battery,2024-07-09
293,Ship Battery,2024-07-09
294,Hybrid Charging,2024-07-09
295,modular,2024-07-09
296,후보기업,2024-07-08
297,네트워크,2024-07-08
298,성과분석,2024-07-08
299,협의회,2024-07-08
300,high tech company,2024-07-08
301,candidate company,2024-07-08
302,network,2024-07-08
303,performance analysis,2024-07-08
304,첨단기술기업,2024-07-08
305,conference,2024-07-08
306,대전 방지,2024-07-05
307,친환경,2024-07-05
308,고분자 개질,2024-07-05
309,폴리 비닐 알코올,2024-07-05
310,전도성 고분자,2024-07-05
311,ESD Safe,2024-07-05
312,Eco friendly,2024-07-05
313,modified polymer,2024-07-05
314,Poly vinyl alcohol,2024-07-05
315,conducting polymer,2024-07-05
316,스마트팜,2024-07-04
317,삼중열병합장치,2024-07-04
318,정보통신기술,2024-07-04
319,DME,2024-07-04
320,배출가스,2024-07-04
321,DME,2024-07-04
322,Smart Farm,2024-07-04
323,Tri generation System,2024-07-04
324,Information and Communications Technology,2024-07-04
325,Exhaust Gas,2024-07-04
326,아데노신 A2A 수용체,2024-07-04
327,불안장애,2024-07-04
328,불면장애,2024-07-04
329,신경쇠약,2024-07-04
330,정신건강,2024-07-04
331,Adenosine receptor A2A,2024-07-04
332,Anxiety disorder,2024-07-04
333,Primary insomnia,2024-07-04
334,Neurasthenia,2024-07-04
335,Mental health,2024-07-04
336,인공지능,2024-07-04
337,스킨케어,2024-07-04
338,맞춤형,2024-07-04
339,피부측정,2024-07-04
340,상담,2024-07-04
341,AI,2024-07-04
342,Skincare,2024-07-04
343,Personalized,2024-07-04
344,Skin diagnosis,2024-07-04
345,consulting,2024-07-04
346,Beam Splitter,2024-07-03
347,Quadrant Photodiode,2024-07-03
348,광무선통신,2024-07-03
349,자유공간광전송,2024-07-03
350,파장 분할 다중화,2024-07-03
351,빔스플리터,2024-07-03
352,사분면 포토다이오드,2024-07-03
353,Optical Wireless Communication,2024-07-03
354,Free Space Optic,2024-07-03
355,Wavelength Division Multiplexing,2024-07-03
356,배설물,2024-07-02
357,악취,2024-07-02
358,저감제,2024-07-02
359,펫용품,2024-07-02
360,excreta,2024-07-02
361,odor,2024-07-02
362,reduction,2024-07-02
363,reduction,2024-07-02
364,공간정보시스템,2024-06-27
365,침수예상도,2024-06-27
366,의사결정지원시스템,2024-06-27
367,슈퍼컴퓨팅,2024-06-27
368,하천범람,2024-06-27
369,GIS,2024-06-27
370,Flood Prediction Map,2024-06-27
371,Decision Making Support System,2024-06-27
372,Supercomputing,2024-06-27
373,River Flood,2024-06-27
374,축산악취,2024-06-27
375,플라즈마,2024-06-27
376,오존제거,2024-06-27
377,암모니아,2024-06-27
378,질소산화물,2024-06-27
379,stink,2024-06-27
380,plasma,2024-06-27
381,ozone removal,2024-06-27
382,NH3,2024-06-27
383,NOx,2024-06-27
384,기술금융,2024-06-27
385,오픈이노베이션,2024-06-27
386,투자,2024-06-27
387,스타트업,2024-06-27
388,네트워크,2024-06-27
389,Network,2024-06-27
390,Technology Finance,2024-06-27
391,Open Innovation,2024-06-27
392,Investment,2024-06-27
393,Startup,2024-06-27
394,케이블 클리트,2024-06-27
395,스마트 센서,2024-06-27
396,레고블록,2024-06-27
397,단락전자력,2024-06-27
398,전력케이블,2024-06-27
399,cable cleat,2024-06-27
